Ticker,Year,EPSIE
DUK,2016,3.11
DUK,2017,4.36
DUK,2018,3.76
FLS,2009,7.59
FLS,2010,6.88
FLS,2011,7.64
FLS,2012,8.51
FLS,2013,3.41
FLS,2014,3.76
FLS,2015,2
FLS,2016,1.01
FLS,2017,0.02
FLS,2018,0.91
PKI,2009,0.73
PKI,2010,3.25
PKI,2011,0.07
PKI,2012,0.61
PKI,2013,1.47
PKI,2014,1.39
PKI,2015,1.87
PKI,2016,2.12
PKI,2017,2.64
PKI,2018,2.13
ETN,2009,2.27
ETN,2010,5.46
ETN,2011,3.93
ETN,2012,3.46
ETN,2013,3.9
ETN,2014,3.76
ETN,2015,4.23
ETN,2016,4.21
ETN,2017,6.68
ETN,2018,4.91
ECL,2009,1.74
ECL,2010,2.23
ECL,2011,1.91
ECL,2012,2.35
ECL,2013,3.16
ECL,2014,3.93
ECL,2015,3.32
ECL,2016,4.14
ECL,2017,5.13
ECL,2018,4.88
EMR,2009,2.27
EMR,2010,2.84
EMR,2011,3.27
EMR,2012,2.67
EMR,2013,2.76
EMR,2014,3.03
EMR,2015,3.99
EMR,2016,2.52
EMR,2017,2.35
EMR,2018,3.46
ATO,2009,2.08
ATO,2010,2.2
ATO,2011,2.27
ATO,2012,2.37
ATO,2013,2.64
ATO,2014,2.96
ATO,2015,3.09
ATO,2016,3.38
ATO,2017,3.73
ATO,2018,5.43
EFX,2009,1.83
EFX,2010,2.11
EFX,2011,1.88
EFX,2012,2.22
EFX,2013,2.84
EFX,2014,2.97
EFX,2015,3.55
EFX,2016,4.04
EFX,2017,4.83
EFX,2018,2.47
EXPD,2009,1.11
EXPD,2010,1.59
EXPD,2011,1.79
EXPD,2012,1.57
EXPD,2013,1.68
EXPD,2014,1.92
EXPD,2015,2.4
EXPD,2016,2.36
EXPD,2017,2.69
EXPD,2018,3.48
XOM,2009,3.98
XOM,2010,6.22
XOM,2011,8.42
XOM,2012,9.7
XOM,2013,7.37
XOM,2014,7.6
XOM,2015,3.85
XOM,2016,1.88
XOM,2017,4.63
XOM,2018,4.88
FMC,2009,3.12
FMC,2010,2.36
FMC,2011,5.1
FMC,2012,3
FMC,2013,2.16
FMC,2014,2.29
FMC,2015,3.66
FMC,2016,1.56
FMC,2017,3.99
FMC,2018,3.69
NEE,2009,3.97
NEE,2010,4.74
NEE,2011,4.59
NEE,2012,4.56
NEE,2013,4.47
NEE,2014,5.6
NEE,2015,6.06
NEE,2016,6.25
NEE,2017,11.38
NEE,2018,13.88
FDX,2008,0.31
FDX,2009,3.76
FDX,2010,4.57
FDX,2011,6.41
FDX,2012,4.91
FDX,2013,6.75
FDX,2014,3.65
FDX,2015,6.51
FDX,2016,11.07
